ALM Audit Report,,
About,,
"Custom product code (M, N, O, MC, L, H, RE, One Time) or sub-product code (e.g., M-01, N-02). Main products: M=Minimal, N=Normal, O=Over, MC=Motor, L=Land, H=Home, RE=Refinance, One Time=Agricultural",,
Customer,Khách Hàng,
Customer Refund Account,,
Cyclic Day Of the Month,,
Daily,Hàng ngày,
Danger,Nguy hiểm,
Date,Ngày,
Day of every month on which the repayment date is considered,,
Days Past Due,,
Days Past Due Log,,
Days Past Due Threshold for NPA,,
Debit Adjustment,,
Debit Adjustment Amount,,
Decentralized,,
Define minimum and maximum loan periods in months,,
Delete GL Entries,,
Delinked,,
Delinquent Available Limit,,
Delinquent In Process Limit,,
Delinquent Limit,,
Delinquent Limit Amount,,
Delinquent Limit Percent,,
Delinquent Principal Outstanding,,
Delinquent Utilized Limit,,
Demand Amount,,
Demand Date,,
Demand Generated,,
Demand Subtype,,
Demand Type,,
Deposit Amount,,
Deposit Date,,
Description,Mô tả,
Description (EN),,
Description (English),,
Description (TH),,
Description (Thai),,
Detailed explanation of this selling point,,
Details,Chi tiết,
Disabled,Đã vô hiệu hóa,
Disbursed,Đã giải ngân,
Disbursed Amount,Số tiền giải ngân,
Disbursement,,
Disbursement Account,,
Disbursement Date,ngày giải ngân,
Disbursement Details,Chi tiết giải ngân,
Disbursement References,,
Display Settings,Thiết lập hiển thị,
Display order (lower number shows first),,
Document Details,,
Document Name (English),,
Document Name (Thai),,
Document Requirements,,
Document Type,loại tài liệu,
Documentation,,
Draft,Bản nháp,
Due Date,Ngày đáo hạn,
EMI,,
EMI (PMT) based,,
EMI (Principal + Interest),,
Early Repayment Fee,,
Effective Date,,
Employee,Nhân viên,
Employee Self Service,,
Enable Partner Accounting,,
End of the current month,,
Entries To Cancel,,
Entries To Repost,,
Entry Fee,,
Event,Sự Kiện,
Excess Amount,,
Excess Amount Acceptance Limit,,
Excess Amount Paid,,
Excess amount repayment limit during loan closure,,
FLDG,,
FLDG Account,,
FLDG Corporate Guarantee Percentage,,
FLDG Fixed Deposit Percentage,,
FLDG Limit Calculation Component,,
FLDG Trigger DPD,,
FLDG Trigger Date,,
FLDG Triggered,,
Failed Repayment,,
Feature this selling point prominently,,
Fee Amount,,
Fee Details,,
Fee Name (English),,
Fee Name (Thai),,
Fee Type,,
Fees,phí,
"Fees, collateral requirements, documents, and selling points",,
Field Verification Required,,
Financial Statement,,
Fixed Amount,,
Fixed Deposit Only,,
Force Update DPD in Loan,,
Foreclosure Type,,
Frappe School,,
Frappe Support,,
Freeze Account,,
Freeze Date,,
From Branch,,
From Date,Từ ngày,
Full Settlement,,
Grace Period in Days,Thời gian ân sủng trong ngày,
Guarantor Required,,
Haircut,Cắt tóc,
Haircut %,Cắt tóc%,
Haircut percentage is the percentage difference between market value of the Loan Security and the value ascribed to that Loan Security when used as collateral for that loan.,Tỷ lệ phần trăm cắt tóc là phần trăm chênh lệch giữa giá trị thị trường của Bảo đảm Khoản vay và giá trị được quy định cho Bảo đảm Khoản vay đó khi được sử dụng làm tài sản thế chấp cho khoản vay đó.,
Highlight Color,,
Highlight Settings,,
Highlight This Point,,
House Registration,,
"How recent the document must be (e.g., 3 for salary slips)",,
ID Card,,
Icon,Biểu tượng,
"Icon name (e.g., clock, dollar-sign, check-circle) for display",,
Ignore On Cancel Amount Update,,
In Process Limit,,
Income Account,Tài khoản thu nhập,
Income Multiplier,,
Income Verification Required,,
Info,Thông tin,
Initiated,Được khởi xướng,
Insurance Fee,,
Interest,Quan tâm,
Interest Accounts,,
Interest Accrued Account,,
Interest Adjustment,,
Interest Amount,Số tiền lãi,
Interest Capitalization,,
Interest Carry Forward,,
Interest Income Account,Tài khoản thu nhập lãi,
Interest Overdue,,
Interest Payable,Phải trả lãi,
Interest Receivable Account,,
Interest Treatment,,
Interest Type,,
Interest Waiver,,
Interest Waiver Account,,
Interest Waiver Amount,,
Internal Foreclosure,,
Invoice Date,Hóa đơn ngày,
Is Backdated,,
Is Excess Amount Refund,,
Is Mandatory,Bắt buộc,
Is NPA,,
Is Percentage,,
Is Secured Loan,Khoản vay có bảo đảm,
Is Security Amount Refund,,
Is Settlement Write Off,,
Is Sub-Product,,
Is Term Loan,Vay có kỳ hạn,
Is Waived,,
Is Write Off Waiver,,
Is Written Off,,
Keyboard Shortcuts,Các phím tắt bàn phím,
LTV Ratio (Loan-to-Value),,
Land,,
Land + Property,,
Land Title Deed,,
Last Accrual Date,,
Late Payment Fee,,
Leave blank for unlimited,,
Leave blank if applies to all amounts,,
Leave blank if no upper limit,,
Lending,,
Limit Amount,,
Limit Applicable End,,
Limit Applicable Start,,
Limit Percent,,
Limit Renewal,,
Limits,,
Line of Credit,,
Link to parent product if this is a sub-product. Leave blank for main products.,,
Loan,Tiền vay,
Loan ,Tiền vay,
Loan  Details,Chi tiết khoản vay,
Loan Account,Tài khoản cho vay,
Loan Accounts,,
Loan Accrual Repost,,
Loan Accrual Repost Detail,,
Loan Adjustment,,
Loan Adjustment Detail,,
Loan Amount,Số tiền vay,
Loan Amount Details,,
Loan Amount Percentage,,
Loan Amount Range,,
Loan Application,Đơn xin vay tiền,
Loan Balance Adjustment,,
Loan Booking,,
Loan Category,,
Loan Category Code,,
Loan Category Name,,
Loan Charge Reference,,
Loan Charges,,
Loan Classification,,
Loan Classification Details,,
Loan Classification Range,,
Loan Closure,Đóng khoản vay,
Loan Closure Requested,Yêu cầu đóng khoản vay,
Loan Credit Limits,,
Loan Demand,,
Loan Demand Details,,
Loan Demand Offset Detail,,
Loan Demand Offset Order,,
Loan Details,Chi tiết vay,
Loan Disbursement,Giải ngân cho vay,
Loan Disbursement Charge,,
Loan Disbursement Charges,,
Loan Freeze Log,,
Loan IRAC Provisioning Configuration,,
Loan Info,Thông tin cho vay,
Loan Interest Accrual,Tiền lãi cộng dồn,
Loan Interest Report,,
Loan Limit Change Log,,
Loan Manager,Quản lý khoản vay,
Loan NPA Log,,
Loan Outstanding Report,,
Loan Partner,,
Loan Partner Address,,
Loan Partner Adhoc Charges Shared,,
Loan Partner Details,,
Loan Partner Interest Rate,,
Loan Partner Payment Ratio,,
Loan Partner Rate Of Interest,,
Loan Partner Repayment Schedule Type,,
Loan Partner Share Details,,
Loan Partner Share Percentage,,
Loan Partner Shareable,,
Loan Partners,,
Loan Period Limits,,
Loan Product,,
Loan Product Collateral Requirement,,
Loan Product Document Requirement,,
Loan Product Fee,,
Loan Product Loan Partner,,
Loan Product Selling Point,,
Loan Refund,,
Loan Repayment,Trả nợ,
Loan Repayment Charges,,
Loan Repayment Detail,Chi tiết Trả nợ Khoản vay,
Loan Repayment Entries,,
Loan Repayment Repost,,
Loan Repayment Repost Cancel Detail,,
Loan Repayment Repost Detail,,
Loan Repayment Schedule,,
Loan Repayment Schedule Detail,,
Loan Repayment Type,,
Loan Repayment and Closure,Trả nợ và đóng,
Loan Restructure,,
Loan Restructure Count,,
Loan Restructure Details,,
Loan Restructure Limit Log,,
Loan Screening Criteria,,
Loan Security,Bảo đảm tiền vay,
Loan Security Assignment,,
Loan Security Code,Mã bảo đảm tiền vay,
Loan Security Deposit,,
Loan Security Details,Chi tiết bảo mật khoản vay,
Loan Security Exposure,,
Loan Security Name,Tên bảo mật cho vay,
Loan Security Price,Giá bảo đảm tiền vay,
Loan Security Release,,
Loan Security Shortfall,Thiếu hụt an ninh cho vay,
Loan Security Status,Tình trạng bảo đảm tiền vay,
Loan Security Type,Loại bảo đảm tiền vay,
Loan To Value Ratio,Tỷ lệ vay vốn,
Loan To Value Ratio expresses the ratio of the loan amount to the value of the security pledged. A loan security shortfall will be triggered if this falls below the specified value for any loan ,Tỷ lệ cho vay trên giá trị thể hiện tỷ lệ giữa số tiền cho vay với giá trị của tài sản đảm bảo được cầm cố. Sự thiếu hụt bảo đảm tiền vay sẽ được kích hoạt nếu điều này giảm xuống dưới giá trị được chỉ định cho bất kỳ khoản vay nào,
Loan Transfer,,
Loan Transfer Detail,,
Loan Write Off,,
Loan Write Off will be automatically created on loan closure request if pending amount is below this limit,,
Loan is a Non Performing Asset,,
Loans,Cho vay,
Loans will be marked as NPA when the days past due count exceed this threshold,,
Log out,,
Manual Foreclosure,,
Manual NPA,,
Manual Remarks,,
Manually marked as NPA,,
Marketing point in English language,,
Marketing point in Thai language,,
Marketing selling points for this product,,
Maturity Date,,
Max DPD Range,,
Maximum Debt Service Ratio (%),,
Maximum LTV Ratio (%),,
Maximum Limit Amount,,
Maximum Loan Amount,Số tiền cho vay tối đa,
Maximum Loan Period (Months),,
Maximum Loan Value,Giá trị khoản vay tối đa,
Maximum Vehicle Age (years),,
"Maximum debt service ratio allowed (e.g., 40% means monthly debt payments cannot exceed 40% of income)",,
"Maximum loan amount as multiple of monthly income (e.g., 10 means max loan = 10x monthly income)",,
Maximum loan period in months,,
Maximum loan-to-value ratio (leave blank for no limit),,
Maximum loan-to-value ratio allowed,,
Maximum vehicle age allowed (leave blank for no limit),,
Member,Hội viên,
Min DPD Range,,
Minimum Guarantors,,
Minimum LTV Ratio (%),,
Minimum Loan Amount,,
Minimum Loan Period (Months),,
Minimum Partner Loan Amount Percentage,,
Minimum days between Disbursement date and first Repayment date,,
Minimum loan amount for this product,,
Minimum loan period in months,,
Minimum loan-to-value ratio,,
Minimum loan-to-value ratio required,,
Minimum number of guarantors required,,
Misc,,
Mode Of Payment,Hình thức thanh toán,
Monthly,Hàng tháng,
Monthly Repayment Amount,Số tiền trả hàng tháng,
Monthly as per cycle date,,
Monthly as per repayment start date,,
Moratorium End Date,,
Moratorium Tenure,,
Moratorium Type,,
More Information,Thêm thông tin,
My Profile,,
My Settings,,
NPA,,
NPA Date,,
NPL Report,,
New Loan Amount,,
New Monthly Repayment Amount,,
New Rate Of Interest,,
New Repayment Method,,
New Repayment Period in Months,,
New Repayment Start Date,,
No. of days from due date until which penalty won't be charged in case of delay in loan repayment,Số ngày kể từ ngày đến hạn cho đến khi khoản phạt sẽ không bị tính trong trường hợp chậm trả nợ,
Normal,Bình thường,
Normal Interest,,
Normal Interest Journal Entry,,
Normal Limit,,
Normal Repayment,,
Normal Restructure,,
Notes,Ghi chú:,
Number Of Days,,
Number of Guarantors Required,,
"Number of copies or instances required (e.g., 3 for salary slips)",,
Old EMI,,
Old Loan Amount,,
Old Rate of Interest,,
Old Repayment Frequency,,
Old Tenure,,
One Time,,
Open,Mở,
Organization Type,,
Original Security Value,,
Other,Khác,
Other Charges Waiver,,
Other Details,Những chi tiết khác,
Outdated,,
Outstanding Amount,Số tiền nợ,
Outstanding Balance Report,,
Outstanding Principal,,
Outstanding Principal & Interest Accrued,,
Own Ratio,,
Ownership Transfer Required,,
POS reduction plus interest at partner ROI,,
Paid Amount,Số tiền thanh toán,
Parent Product,,
Partial Payment Mechanism,,
Partial Settlement,,
Partially Disbursed,phần giải ngân,
Particulars,Các chi tiết,
Partner Base Interest Rate,,
Partner Code,,
Partner Collection Percentage,,
Partner Interest Share,,
Partner Loan Amount Percentage,,
Partner Loan Share Percentage,,
Partner Monthly Repayment Amount,,
Partner Name,,
Partner Percentage,,
Partner Ratio,,
Partner Repayment Schedule Type,,
Partner Share,,
Partner Share Allocated,,
Payable Account,Tài khoản phải trả,
Payable Amount,Số tiền phải trả,
Payable Charges,,
Payable Principal Amount,Số tiền gốc phải trả,
Payment Account,Tài khoản thanh toán,
Payment Date,Ngày thanh toán,
Payment Details,Chi tiết Thanh toán,
Payment Reference,Tham chiếu thanh toán,
Payment References,Tài liệu tham khảo thanh toán,
Payroll Payable Account,,
Penal Interest,,
Penal Interest Waiver,,
Penal Treatment,,
Penalty,,
Penalty Accrued Account,,
Penalty Amount,Số tiền phạt,
Penalty Capitalization,,
Penalty Charges Accounts,,
Penalty Charges Rate,,
Penalty Income Account,Tài khoản thu nhập phạt,
Penalty Interest Rate (%),,
Penalty Interest Rate is levied on the pending amount on a daily basis in case of delayed repayment ,,
Penalty Overdue,,
Penalty Receivable Account,,
Penalty Suspense Account,,
Penalty Waiver,,
Penalty Waiver Account,,
Pending,Chờ,
Pending Charge Amount,,
Pending Principal Amount,Số tiền gốc đang chờ xử lý,
Percentage,Tỷ lệ phần trăm,
Pledge,Lời hứa,
Pledge Requested,,
Pledge Time,Thời gian cầm cố,
Pledged,Cầm cố,
Post Haircut Amount,Số tiền cắt tóc,
Posting Date,Ngày đăng,
Posting Date (End Date),,
Pre Payment,,
Pre Payment Charges,,
Pre Restructure DPD,,
Pre Restructure Details,,
Prepayment Charges,,
Primary,Vũ khí chinh,
Primary Address,Địa chỉ Chính,
Principal,,
Principal Adjusted,,
Principal Adjustment,,
Principal Amount,Số tiền chính,
Principal Amount Paid,Số tiền gốc phải trả,
Principal Capitalization,,
Principal Outstanding,,
Principal Overdue,,
Pro-rated calendar months,,
Process Loan Classification,,
Process Loan Demand,,
Process Loan Interest Accrual,Quá trình cho vay lãi tích lũy,
Process Loan Restructure Limit,,
Process Loan Security Shortfall,Thiếu hụt bảo đảm tiền vay,
Process Payroll Accounting Entry based on Employee,,
Processing Fee,,
Product Code,,
Product Configuration,,
Product Description,,
Product Details,,
Product Name,,
Product Name (EN),,
Product Name (TH),,
Product fees and charges,,
Product name in English language,,
Product name in Thai language,,
Product-specific special requirements and conditions,,
Property,Tài sản,
Property Deed,,
Proposed Pledge,Cam kết đề xuất,
Proposed Pledges,Dự kiến cam kết,
Provision Rate,,
Quantity,Số lượng,
Quantity Required,,
Quarterly,Quý,
Rate Of Interest,,
Rate of Interest,lãi suất thị trường,
Rate of Interest (%) / Year,Lãi suất thị trường (%) / năm,
Rate of Interest (%) Yearly,Lãi suất thị trường (%) hàng năm,
Ratio,,
Reason,Nguyên nhân,
Reason For Freezing,,
Reason for Restructure,,
Receivable Account,Tài khoản phải thu,
Reference Date,Kỳ hạn tham chiếu,
Reference Document Type,Tài liệu tham chiếu Type,
Reference Name,Tên tham chiếu,
Reference No,tài liệu tham khảo số,
Reference Number,Số liệu tham khảo,
References,Tài liệu tham khảo,
Refund,,
Refund Account,,
Refund Amount,,
Refund Date,,
Refund Details,,
Refund amount,,
Regular,quy luật,
Rejected,Bị từ chối,
Release Requested,,
Release Time,,
Released,,
Reload,Nạp lại,
Remaining Debtor Report,,
Remarks,Ghi chú,
Repay Fixed Amount per Period,Trả cố định Số tiền cho mỗi thời kỳ,
Repay From Salary,Trả nợ từ lương,
Repay Over Number of Periods,Trả Trong số kỳ,
Repayment,,
Repayment Account,,
Repayment Date On,,
Repayment Details,Chi tiết Trả nợ,
Repayment Frequency,,
Repayment Info,Thông tin thanh toán,
Repayment Method,Phương pháp trả nợ,
Repayment Period In Months,,
Repayment Period in Months,Thời gian trả nợ trong tháng,
Repayment Periods,,
Repayment Schedule,Kế hoạch trả nợ,
Repayment Schedule Detail,,
Repayment Schedule Type,,
Repayment Start Date,Ngày bắt đầu thanh toán,
Repayment Type,,
Report an Issue,,
Repossessed,,
Repost Date,,
Requested,Yêu cầu,
Require Credit Bureau Check,,
Required documents for loan application,,
Required for loan application,,
Rescheduled,,
Restructure Charges,,
Restructure Date,,
Restructure Type,,
Restructure of Loans applicable,,
Restructured,,
Salary Slip,phiếu lương,
Sales Invoice,Hóa đơn bán hàng,
Same as regular interest accounts,,
Sanctioned,Xử phạt,
Sanctioned Amount Limit,Giới hạn số tiền bị xử phạt,
Sanctioned Loan Amount,Số tiền cho vay bị xử phạt,
Secured,,
Securities,Chứng khoán,
Security Deposit Account,,
Security Deposit Adjustment,,
Security Type,,
Security Value ,Giá trị bảo mật,
Select whether the repayment date should be the end of the current month or start of the upcoming month,,
Selling Point (English),,
Selling Point (TH),,
Selling Points,,
Semi-Secured,,
Servicer Fee,,
Session Defaults,Mặc định phiên,
Settled,Định cư,
Settlement Date,,
Shareable Type,,
Shareables,,
Sharing Parameter,,
Shortfall Amount,Số tiền thiếu,
Shortfall Percentage,,
Shortfall Time,Thời gian thiếu,
Sort Order,Thứ tự sắp xếp,
Special Conditions,,
Specify loan amount range where this document is required,,
Stamp Duty,,
Start Date,Ngày bắt đầu,
Start of the next month,,
Status,Trạng thái,
Submitted,Đã lần gửi,
Subsidy Adjustment Account,,
Subsidy Adjustments,,
Success,Sự thành công,
Suspense Account,,
Suspense Collection Account,,
Suspense Interest Income,,
System Manager,Hệ thống quản lý,
Tax Return,,
Tenure,,
Tenure Post Restructure,,
Term Details,Chi tiết điều khoản,
The schedule type that will be used for generating the term loan schedules (will affect the payment date and monthly repayment amount),,
Timestamp,Dấu thời gian,
Title,Tiêu đề,
To Branch,,
To Date,Đến ngày,
Toggle Full Width,,
Toggle Theme,,
Total Amount Paid,Tổng số tiền thanh toán,
Total Charges Paid,,
Total Charges Payable,,
Total Installments Overdue ,,
Total Installments Paid,,
Total Installments Raised,,
Total Interest Paid,,
Total Interest Payable,Tổng số lãi phải trả,
Total Overdue Amount,,
Total Partner Interest Share,,
Total Partner Principal Share,,
Total Payable Amount,Tổng số tiền phải nộp,
Total Payable Interest,Tổng số lãi phải trả,
Total Payment,Tổng tiền thanh toán,
Total Penalty Paid,,
Total Principal Paid,Tổng số tiền gốc,
Total Security Value,Tổng giá trị bảo mật,
Totals,{0}{/0}{1}{/1} {2}{/2}Tổng giá trị,
Trace ID,,
Traceback,Tìm lại,
Transfer Date,Ngày chuyển giao,
Treatment Of Interest,,
Treatment of Interest,,
Type of FLDG Applicable,,
Unaccrued Interest,,
Unaccrued Interest Treatment,,
Unaccrued Interest Waiver,,
Unbooked Interest Paid,,
Unbooked Penalty Paid,,
Unfreeze Date,,
Unmark NPA,,
Unpledge,Unpledge,
Unpledge Time,Thời gian mở,
Unpledged,Không ghép,
Unsecured,,
Update Time,Cập nhật thời gian,
User Forum,,
Utility Bill,,
Utilized Limit,,
Utilized Limit Amount,,
Utilized Security Value,,
Valid From,Có hiệu lực từ,
Valid Upto,Hợp lệ Tối đa,
Validate Normal Repayment,,
Validity Period (Months),,
Value Change,Thay đổi giá trị,
Value Date,,
Value Type,,
Vehicle,phương tiện,
Vehicle + Land,,
Vehicle + Property,,
Vehicle Registration,,
Vehicle/land types allowed for this product,,
View Website,Xem trang web,
Waive Off Restructure Charges,,
Waived Amount,,
Waiver Account,,
Waiving of Charges applicable,,
Warning,Cảnh báo,
Watch Period End Date,,
Weekly,Hàng tuần,
Withhold Security Deposit,,
Write Off Account,Viết Tắt tài khoản,
Write Off Accounts,,
Write Off Amount,Viết tắt số tiền,
Write Off Details,,
Write Off Recovery,,
Write Off Recovery Account,,
Write Off Settlement,,
Written Off,,
Written Off Amount,,
